epoch	training perplexity	validation perplexity	test perplexity
1	435.52792239737016	344.4204880556855	120.10630011434465
2	206.56453932464208	214.77738176034
3	172.93175185486578	171.3156835975211
4	160.56679971596358	167.20985062973728
5	153.82333880850769	156.60069204188
6	151.41468991417213	157.0732969586985
7	138.93947216574287	151.10441182009126
8	134.1022259928688	146.56637521959203
9	131.24979125410178	145.6462273896557
10	129.50889568059185	143.96308947337258
11	128.53505860255262	143.17848876839156
12	126.60248908906475	142.84024368041744
13	125.36387699035912	143.40491901590394
14	123.3169063965592	141.80299567311462
15	122.4664280664739	140.91456380695823
16	121.64678781305325	141.34813721084547
17	120.8829306135433	141.35504570397137
18	120.36218391324284	141.41142055125528
19	120.60599283969408	141.41340993703062
20	120.67046500156675	141.41439147862283
21	120.15535431975664	141.41524934145684
22	119.70129118851206	141.41523960527945
23	120.37574101853306	141.41524681726253
24	120.52557363529777	141.41526232302772
25	120.73266958610472	141.41527241980583
26	120.4486320966402	141.41527422280197
27	120.41586002522547	141.415278549993
28	120.5415207912875	141.4152803529892
29	120.79547334170135	141.41527782879447
30	120.31131736016529	141.41527241980583
31	119.97376570524952	141.41527314100432
32	120.07323202716135	141.41527314100432
33	120.31469254734581	141.41527314100432
34	120.68310943869983	141.41527314100432
35	120.35716076824956	141.41527314100432
36	121.05437065164003	141.41527314100432
37	120.40347824920524	141.41527314100432
38	120.25666760352603	141.41527314100432
39	120.68730536277094	141.41527314100432
40	120.60661270790939	141.41527314100432
